PROVINCIA,CANTON,PORTELEF,PORELEC,IME,IDH,IVS,IPS,DC,AGUAENT,REDALCAN,POREXCRE,IAE,PORHACIN,VIVPROPIA,INDGESTMUN,UPAS,CANALRIEGO,EMBALSES,SITNATU,PASTONATU,MONTBOSQ,COMERCIAL,LLUVIA_RIO,AGROINDUS
SUCUMBIOS,PUTUMAYO,0.8,32.5,47.2,61.0,42.8,4.6,44.6,39.1,19.4,47.2,54.20,35.0,67.2,26.7,505.00,1500,130,12,591,6689,67,72,6624
SUCUMBIOS,CASCALES,6.2,43.5,57.1,61.0,33.6,4.6,42.2,50.3,53.7,60.0,54.30,32.5,67.2,35.0,524.00,1500,130,12,591,6689,67,72,6624
SUCUMBIOS,LAGO AGRIO,13.1,71.1,55.5,61.0,36.6,4.6,41.9,46.8,39.0,64.9,42.70,29.1,67.2,31.1,3391.00,1500,130,12,591,6689,67,72,6624
SUCUMBIOS,GONZALO PIZARRO,3.5,61.7,54.6,61.0,36.5,4.6,42.2,64.3,53.2,53.7,49.30,31.9,67.2,25.7,540.00,1500,130,12,591,6689,67,72,6624
SUCUMBIOS,SHUSHUFINDI,11.4,63.6,51.4,61.0,37.5,4.6,42.4,95.3,35.1,56.7,43.60,31.8,67.2,30.3,2240.00,1500,130,12,591,6689,67,72,6624
SUCUMBIOS,CUYABENO,2.5,48.3,51.3,61.0,40.4,4.6,42.5,23.5,10.2,42.1,49.20,35.5,67.2,46.7,397.00,1500,130,12,591,6689,67,72,6624
SUCUMBIOS,SUCUMBIOS,1.2,76.4,51.6,61.0,30.9,4.6,41.8,77.8,70.0,65.5,63.00,35.5,67.2,28.8,301.00,1500,130,12,591,6689,67,72,6624
NO DELIMITADO,LAS GOLONDRINAS,6.8,71.9,45.0,0.0,39.5,0.0,0.0,0.0,,61.8,0.00,36.1,66.2,0.0,231.00,1500,130,0,0,0,0,0,0
ORELLANA,ORELLANA,12.8,58.1,55.8,61.0,38.9,0.0,41.1,67.8,16.8,59.0,48.90,33.0,72.4,30.5,2061.00,1500,130,8,134,5097,73,80,3205
ORELLANA,LA JOYA DE LOS SACHAS,7.8,57.5,48.6,61.0,37.4,0.0,41.6,68.4,28.4,43.2,47.50,30.0,72.4,32.1,2559.00,1500,130,8,134,5097,73,80,3205
ORELLANA,LORETO,1.0,30.8,43.3,61.0,51.6,0.0,43.7,37.8,10.3,26.8,64.50,55.4,72.4,31.4,1104.00,1500,130,8,134,5097,73,80,3205
ORELLANA,AGUARICO,8.1,31.0,49.9,61.0,51.3,0.0,42.9,66.8,58.7,29.3,41.90,53.1,72.4,26.1,239.00,1500,130,8,134,5097,73,80,3205
NO DELIMITADO,LA CONCORDIA,11.1,76.6,46.0,0.0,36.1,0.0,0.0,0.0,,79.7,0.00,31.5,66.2,0.0,1864.00,1500,130,0,0,0,0,0,0
NAPO,EL CHACO,13.3,91.8,55.1,61.0,34.0,9.3,42.3,75.8,74.5,80.6,50.90,26.2,72.6,30.5,601.00,1500,130,34,201,4187,68,62,0
NAPO,QUIJOS,22.7,89.5,61.3,61.0,26.2,9.3,40.6,89.8,79.0,77.1,53.70,21.0,72.6,27.4,433.00,1500,130,34,201,4187,68,62,0
NAPO,ARCHIDONA,6.2,48.9,55.4,61.0,56.7,9.3,42.4,76.1,38.7,48.6,60.80,46.2,72.6,23.8,1333.00,1500,130,34,201,4187,68,62,0
NAPO,TENA,22.7,61.0,61.9,61.0,39.0,9.3,41.3,70.3,27.9,52.1,60.00,38.8,72.6,30.2,2379.00,1500,130,34,201,4187,68,62,0
NAPO,CARLOS JULIO AROSEMENA TOLA,4.5,57.7,56.3,61.0,39.1,9.3,41.9,51.4,65.1,63.6,61.30,29.5,72.6,24.2,369.00,1500,130,34,201,4187,68,62,0
IMBABURA,IBARRA,37.7,95.9,66.8,66.0,51.7,9.0,53.1,93.4,84.0,88.5,42.10,21.0,67.2,31.4,7476.00,880,39,28,9119,7210,26,46,21790
IMBABURA,SAN MIGUEL DE URCUQUI,13.0,85.5,39.8,66.0,58.1,9.0,63.6,89.1,85.0,77.0,50.40,31.5,67.2,23.9,2494.00,281,7,28,9119,7210,26,46,21790
IMBABURA,PIMAMPIRO,16.0,85.4,42.7,66.0,61.9,9.0,63.6,83.3,67.1,66.5,49.60,35.6,67.2,28.3,2046.00,286,129,28,9119,7210,26,46,21790
IMBABURA,ANTONIO ANTE,23.6,92.3,54.2,66.0,53.9,9.0,56.7,81.9,67.7,86.6,41.40,26.0,67.2,32.5,2966.00,1000,9,28,9119,7210,26,46,21790
IMBABURA,OTAVALO,26.3,86.3,47.6,66.0,68.8,9.0,61.1,90.9,86.4,72.5,36.90,32.0,67.2,32.9,12686.00,121,68,28,9119,7210,26,46,21790
ESMERALDAS,SAN LORENZO,13.6,73.7,47.2,65.0,58.9,6.7,44.3,46.1,27.7,59.0,37.90,33.3,71.1,21.5,1465.00,1500,130,20,372,10739,66,92,8505
ESMERALDAS,ELOY ALFARO,11.5,55.3,41.0,65.0,68.4,6.7,45.3,20.2,16.5,37.7,43.30,36.2,71.1,32.9,2756.00,1500,130,20,372,10739,66,92,8505
ESMERALDAS,RIO VERDE,8.0,60.6,39.8,65.0,48.5,6.7,44.5,6.5,52.7,39.5,52.20,40.1,71.1,23.9,1422.00,1500,130,20,372,10739,66,92,8505
ESMERALDAS,ESMERALDAS,36.0,90.3,71.1,65.0,35.6,6.7,36.6,65.9,61.2,87.5,49.00,25.6,71.1,10.4,2062.00,1500,130,20,372,10739,66,92,8505
ESMERALDAS,ATACAMES,13.3,83.2,48.9,65.0,43.4,6.7,44.3,81.0,69.1,74.9,40.70,35.8,71.1,32.9,854.00,1500,130,20,372,10739,66,92,8505
ESMERALDAS,MUISNE,11.3,49.8,42.4,65.0,49.0,6.7,45.5,22.6,25.7,56.9,43.10,40.1,71.1,19.1,1429.00,1500,130,20,372,10739,66,92,8505
ESMERALDAS,QUININDE,12.7,63.9,43.7,65.0,46.1,6.7,42.8,84.1,64.8,68.4,50.80,33.5,71.1,18.2,6025.00,1500,130,20,372,10739,66,92,8505
CARCHI,MIRA,16.1,92.0,46.6,69.0,61.9,7.9,62.9,99.2,53.8,72.5,55.60,29.8,62.6,30.7,2352.00,99,47,30,5308,3181,36,56,18119
CARCHI,ESPEJO,30.2,94.6,54.9,69.0,44.0,7.9,58.1,94.4,66.6,79.9,53.70,31.8,62.6,34.0,1514.00,105,1,30,5308,3181,36,56,18119
