PROVINCIA,CANTON,PARROQUIA,POBTOTAL
CARCHI,TULCAN,TOBAR DONOSO,727
CARCHI,TULCAN,EL CHICAL,2318
ESMERALDAS,SAN LORENZO,CARONDELET,935
ESMERALDAS,SAN LORENZO,SANTA RITA,1231
ESMERALDAS,RIO VERDE,RIO VERDE,4577
ESMERALDAS,RIO VERDE,ROCAFUERTE,4613
ESMERALDAS,ELOY ALFARO,ANCHAYACU,1748
ESMERALDAS,ESMERALDAS,CAMARONES,2577
ESMERALDAS,ELOY ALFARO,COLON ELOY DEL MARIA,1266
ESMERALDAS,SAN LORENZO,ALTO TAMBO,1433
ESMERALDAS,RIO VERDE,CHONTADURO,2693
ESMERALDAS,ATACAMES,TONSUPA,7149
CARCHI,MIRA,JIJON Y CAAMAÐO,2212
CARCHI,TULCAN,MALDONADO,1458
ESMERALDAS,ELOY ALFARO,SAN FRANCISCO DE ONZOLE,1416
IMBABURA,IBARRA,LITA,2413
ESMERALDAS,RIO VERDE,CHUMUNDE,2910
ESMERALDAS,ATACAMES,SUA,3065
ESMERALDAS,ELOY ALFARO,ATAHUALPA,2613
CARCHI,ESPEJO,EL GOALTAL,910
ESMERALDAS,ATACAMES,TONCHIGUE,6610
CARCHI,TULCAN,TULCAN,54326
ESMERALDAS,ESMERALDAS,TABIAZO,2699
CARCHI,TULCAN,TUFIÐO,1771
ESMERALDAS,ELOY ALFARO,SANTO DOMINGO DE ONZOLE,1471
ESMERALDAS,MUISNE,GALERA,1398
CARCHI,TULCAN,URBINA,860
IMBABURA,IBARRA,CAROLINA,2875
ESMERALDAS,MUISNE,SAN FRANCISCO,2554
IMBABURA,SAN MIGUEL DE URCUQUI,LA MERCED DE BUENOS AIRES,1560
CARCHI,ESPEJO,LA LIBERTAD,795
ESMERALDAS,ESMERALDAS,CORONEL CARLOS CONCHA TORRES,1894
ESMERALDAS,MUISNE,QUINGUE,536
CARCHI,TULCAN,JULIO ANDRADE,9302
CARCHI,ESPEJO,EL ANGEL,6278
CARCHI,MIRA,CONCEPCION,1793
CARCHI,MONTUFAR,CHITAN DE NAVARRETE,672
CARCHI,TULCAN,EL CARMELO,0
CARCHI,MONTUFAR,SAN GABRIEL,19230
CARCHI,TULCAN,PIOTER,845
CARCHI,TULCAN,SANTA MARTHA DE CUBA,2049
CARCHI,MONTUFAR,CRISTOBAL COLON,2932
ESMERALDAS,MUISNE,MUISNE,8670
CARCHI,SAN PEDRO DE HUACA,HUACA,5512
SUCUMBIOS,SUCUMBIOS,SANTA BARBARA,505
CARCHI,ESPEJO,SAN ISIDRO,11211
SUCUMBIOS,SUCUMBIOS,EL PLAYON DE SAN FCO.,1255
CARCHI,MIRA,MIRA,5894
ESMERALDAS,QUININDE,CUBE,7087
ESMERALDAS,MUISNE,SAN GREGORIO,4709
CARCHI,SAN PEDRO DE HUACA,MARISCAL SUCRE,1344
ESMERALDAS,QUININDE,MALIMPIA,13311
CARCHI,MIRA,JUAN MONTALVO,1434
CARCHI,MONTUFAR,LA PAZ,1691
CARCHI,MONTUFAR,FERNANDEZ SALVADOR,1393
CARCHI,BOLIVAR,BOLIVAR,766
IMBABURA,COTACACHI,IMANTAG,4660
